,Chr,Dominance,MutationType
0,16,dominant,frameshift
1,4,dominant,synonymous
2,10,recessive,missense
3,11,dominant,silent
4,3,recessive,synonymous
5,4,dominant,nonsense
6,11,dominant,frameshift
7,12,recessive,nonsense
8,16,recessive,silent
9,8,recessive,missense
10,2,dominant,silent
11,3,recessive,nonsense
12,18,dominant,frameshift
13,19,dominant,nonsense
14,8,recessive,synonymous
15,4,recessive,silent
16,19,recessive,nonsense
17,20,recessive,synonymous
18,9,recessive,nonsense
19,13,dominant,missense
20,14,recessive,synonymous
21,3,dominant,missense
22,20,dominant,silent
23,20,recessive,frameshift
24,6,recessive,nonsense
25,14,recessive,synonymous
26,16,recessive,missense
27,8,dominant,frameshift
28,16,dominant,frameshift
29,10,dominant,missense
30,8,dominant,nonsense
31,14,dominant,missense
32,5,dominant,missense
33,8,dominant,missense
34,9,dominant,silent
35,2,dominant,synonymous
36,19,recessive,missense
37,13,recessive,synonymous
38,18,recessive,missense
39,8,recessive,nonsense
40,10,dominant,missense
41,11,recessive,silent
42,11,recessive,nonsense
43,18,recessive,frameshift
44,19,recessive,nonsense
45,9,recessive,nonsense
46,4,recessive,synonymous
47,8,recessive,silent
48,2,dominant,missense
49,2,dominant,missense
50,10,recessive,silent
51,19,dominant,synonymous
52,17,dominant,frameshift
53,17,dominant,silent
54,15,recessive,missense
55,13,recessive,synonymous
56,7,dominant,nonsense
57,12,recessive,frameshift
58,17,dominant,silent
59,8,dominant,synonymous
60,1,dominant,synonymous
61,1,recessive,missense
62,16,recessive,synonymous
63,15,dominant,nonsense
64,16,dominant,frameshift
65,3,recessive,synonymous
66,20,recessive,nonsense
67,10,recessive,silent
68,22,dominant,nonsense
69,21,dominant,nonsense
70,2,dominant,synonymous
71,18,dominant,silent
72,18,recessive,synonymous
73,18,recessive,nonsense
74,9,dominant,synonymous
75,4,dominant,nonsense
76,3,recessive,silent
77,18,dominant,silent
78,8,dominant,synonymous
79,9,recessive,frameshift
80,22,recessive,missense
81,1,dominant,missense
82,8,dominant,synonymous
83,3,recessive,synonymous
84,21,dominant,silent
85,17,dominant,synonymous
86,21,recessive,nonsense
87,9,dominant,frameshift
88,9,recessive,frameshift
89,3,recessive,missense
90,20,recessive,synonymous
91,14,recessive,nonsense
92,16,dominant,frameshift
93,1,dominant,missense
94,15,recessive,frameshift
95,10,recessive,frameshift
96,16,dominant,synonymous
97,19,dominant,silent
98,16,recessive,synonymous
99,10,recessive,synonymous
100,19,dominant,synonymous
101,9,dominant,frameshift
102,14,recessive,frameshift
103,16,dominant,synonymous
104,2,recessive,nonsense
105,11,recessive,nonsense
106,21,recessive,frameshift
107,21,dominant,nonsense
108,13,recessive,nonsense
109,4,recessive,missense
110,10,dominant,silent
111,4,recessive,frameshift
112,15,dominant,nonsense
113,21,recessive,silent
114,11,dominant,silent
115,9,recessive,silent
116,15,recessive,missense
117,21,recessive,silent
118,16,dominant,missense
119,18,recessive,frameshift
120,13,recessive,synonymous
121,14,dominant,synonymous
122,4,dominant,nonsense
123,2,recessive,nonsense
124,15,recessive,missense
125,11,recessive,nonsense
126,1,recessive,frameshift
127,14,recessive,silent
128,7,recessive,missense
129,4,dominant,nonsense
130,4,recessive,frameshift
131,5,recessive,nonsense
132,20,dominant,synonymous
133,10,recessive,frameshift
134,11,dominant,nonsense
135,17,recessive,synonymous
136,3,recessive,missense
137,21,recessive,silent
138,3,dominant,nonsense
139,8,recessive,missense
140,4,dominant,frameshift
141,6,dominant,silent
142,4,recessive,synonymous
143,12,recessive,silent
144,4,recessive,missense
145,12,dominant,nonsense
146,16,recessive,nonsense
147,7,dominant,silent
148,4,dominant,silent
149,10,recessive,missense
150,1,recessive,frameshift
151,22,recessive,silent
152,2,dominant,frameshift
153,6,recessive,frameshift
154,3,recessive,nonsense
155,16,recessive,silent
156,2,dominant,silent
157,5,dominant,synonymous
158,19,dominant,silent
159,21,dominant,frameshift
160,22,dominant,nonsense
161,9,dominant,frameshift
162,15,dominant,synonymous
163,21,dominant,synonymous
164,21,recessive,silent
165,6,dominant,frameshift
166,7,dominant,silent
167,10,dominant,silent
168,21,recessive,nonsense
169,7,recessive,frameshift
170,19,dominant,missense
171,16,dominant,synonymous
172,17,dominant,nonsense
173,19,dominant,synonymous
174,11,dominant,missense
175,7,recessive,frameshift
176,9,dominant,silent
177,1,dominant,synonymous
178,13,recessive,synonymous
179,19,dominant,silent
180,13,dominant,silent
181,2,dominant,silent
182,12,dominant,nonsense
183,19,recessive,silent
184,13,recessive,missense
185,14,dominant,frameshift
186,12,recessive,missense
187,22,recessive,synonymous
188,3,dominant,frameshift
189,15,recessive,missense
190,8,dominant,silent
191,12,recessive,frameshift
192,7,recessive,silent
193,1,recessive,missense
194,3,dominant,frameshift
195,9,dominant,silent
196,19,recessive,missense
197,16,recessive,nonsense
198,19,dominant,nonsense
199,15,dominant,synonymous
200,12,recessive,frameshift
201,17,recessive,missense
202,13,recessive,synonymous
203,4,recessive,nonsense
204,8,dominant,silent
205,7,recessive,synonymous
206,13,dominant,frameshift
207,12,recessive,synonymous
208,7,dominant,frameshift
209,2,recessive,frameshift
210,22,dominant,nonsense
211,1,dominant,missense
212,20,recessive,nonsense
213,19,recessive,silent
214,20,dominant,silent
215,3,dominant,frameshift
216,12,dominant,frameshift
217,12,recessive,synonymous
218,12,dominant,missense
219,22,dominant,synonymous
220,18,dominant,missense
221,8,dominant,nonsense
222,5,dominant,frameshift
223,7,dominant,synonymous
224,13,dominant,frameshift
225,18,dominant,synonymous
226,1,recessive,synonymous
227,21,recessive,synonymous
228,3,recessive,frameshift
229,12,recessive,silent
230,16,dominant,silent
231,21,dominant,nonsense
232,6,recessive,silent
233,1,recessive,frameshift
234,15,recessive,frameshift
235,18,recessive,missense
236,10,recessive,synonymous
237,8,recessive,missense
238,1,recessive,nonsense
239,22,dominant,missense
240,2,recessive,synonymous
241,12,dominant,missense
242,1,dominant,missense
243,21,recessive,nonsense
244,10,recessive,silent
245,19,dominant,synonymous
246,11,recessive,missense
247,10,recessive,nonsense
248,13,recessive,silent
249,19,recessive,frameshift
250,15,recessive,nonsense
251,10,dominant,nonsense
252,10,recessive,silent
253,4,recessive,silent
254,16,recessive,missense
255,10,recessive,nonsense
256,8,recessive,silent
257,4,recessive,nonsense
258,20,recessive,nonsense
259,2,recessive,nonsense
260,4,recessive,frameshift
261,12,dominant,missense
262,9,recessive,silent
263,11,recessive,frameshift
264,21,recessive,frameshift
265,18,recessive,nonsense
266,11,dominant,nonsense
267,4,recessive,synonymous
268,16,recessive,nonsense
269,22,recessive,missense
270,16,recessive,missense
271,14,dominant,frameshift
